settlement,teaor,bin,count,generated_count,diff
Bakonybél,55,1-4,6,8,2
Bakonycsernye,1,1-4,12,15,3
Bakonycsernye,43,1-4,26,32,6
Bakonycsernye,47,1-4,16,20,4
Bakonycsernye,49,1-4,11,14,3
Bakonycsernye,66,1-4,6,8,2
Bakonycsernye,74,1-4,6,8,2
Bakonycsernye,81,1-4,9,11,2
Bakonycsernye,82,1-4,6,8,2
Bakonycsernye,86,1-4,5,6,1
Bakonycsernye,96,1-4,17,21,4
Bakonyjákó,2,1-4,6,8,2
Bakonyjákó,43,1-4,8,10,2
Bakonykúti,43,1-4,5,6,1
Bakonynána,43,1-4,11,14,3
Bakonynána,47,1-4,7,9,2
Bakonynána,96,1-4,5,6,1
Bakonypölöske,22,1-4,6,8,2
Bakonypölöske,23,1-4,6,8,2
Bakonypölöske,25,1-4,37,46,9
Bakonypölöske,28,1-4,6,8,2
Bakonypölöske,30,1-4,5,6,1
Bakonypölöske,31,1-4,16,20,4
Bakonypölöske,32,1-4,20,25,5
Bakonypölöske,33,1-4,27,34,7
Bakonypölöske,43,1-4,7,9,2
Bakonyszentiván,1,1-4,5,6,1
Bakonyszentkirály,1,1-4,5,6,1
Bakonyszentkirály,23,5-9,20,25,5
Bakonyszentkirály,25,5-9,32,40,8
Bakonyszentkirály,31,5-9,5,6,1
Bakonyszentkirály,32,5-9,49,61,12
Bakonyszentkirály,33,5-9,35,44,9
Bakonyszentkirály,43,1-4,11,14,3
Bakonyszentkirály,47,1-4,6,8,2
